drug_id,especie,semilla,n_semilla
200384,10,nula,0
200964,10,nula,0
201230,10,no informativa,8
202456,10,no informativa,5
203413,10,no informativa,6
203583,10,nula,0
203682,10,informativa,44
204001,10,nula,0
205191,10,nula,0
207432,10,nula,0
209301,10,no informativa,2
209669,10,nula,0
210198,10,no informativa,3
210371,10,nula,0
211479,10,no informativa,5
211743,10,nula,0
212118,10,nula,0
212332,10,no informativa,7
213702,10,nula,0
213734,10,nula,0
214384,10,no informativa,6
216158,10,nula,0
217130,10,nula,0
217725,10,no informativa,6
218551,10,no informativa,3
220048,10,nula,0
220625,10,nula,0
220918,10,informativa,4
224485,10,nula,0
224489,10,nula,0
226612,10,no informativa,1515
227592,10,nula,0
228158,10,no informativa,3
228212,10,nula,0
229123,10,no informativa,2
229297,10,no informativa,8
229544,10,no informativa,5
229563,10,nula,0
229734,10,nula,0
229938,10,nula,0
230076,10,nula,0
230621,10,informativa,8
235593,10,nula,0
236023,10,no informativa,2
237145,10,nula,0
238753,10,nula,0
239164,10,nula,0
239695,10,nula,0
239853,10,nula,0
240900,10,nula,0
240986,10,no informativa,10
241117,10,nula,0
241368,10,nula,0
242059,10,no informativa,359
242738,10,nula,0
243292,10,nula,0
243474,10,nula,0
243628,10,nula,0
244676,10,nula,0
245362,10,nula,0
245887,10,nula,0
246429,10,nula,0
247082,10,nula,0
247813,10,no informativa,5
248652,10,nula,0
249356,10,no informativa,4
249527,10,nula,0
251575,10,nula,0
252218,10,nula,0
252809,10,nula,0
253031,10,nula,0
253197,10,no informativa,5
253334,10,nula,0
254211,10,nula,0
255422,10,nula,0
255979,10,nula,0
258172,10,no informativa,4
259480,10,nula,0
260053,10,nula,0
261274,10,nula,0
261314,10,nula,0
