target_id,ann
42715,26608
117724,45461
364117,40343
399471,26886
265818,39195
171080,40999
136921,55908
188146,38745
155809,25590
338571,60916
100719,8036
382212,3694
300566,3514
199057,20746
131311,1742
397583,41014
138823,58047
160836,33957
20992,7537
348244,30141
382821,11311
311144,17414
310507,54553
203357,71791
383755,38410
396242,39793
736,75755
293444,49056
51983,27292
290423,25088
286335,18655
49370,18468
233300,8409
317546,68511
157739,48453
283291,48319
27184,11518
102393,43068
349927,11328
150939,44697
349336,12791
160776,50630
146177,47740
306356,14141
155559,28857
360708,31424
14557,31424
302373,21894
76538,69739
21635,18069
53636,3191
54418,67444
209855,18773
76709,51833
221055,36718
25170,56594
393,12905
260276,9969
145469,22204
242650,1918
229405,62634
363377,38092
270363,74219
107545,17095
221202,35921
233510,3765
71203,72440
112444,6509
341525,72777
191759,61775
44461,76027
55568,70729
371700,40847
138378,10243
367941,58028
245301,5913
241205,2869
261907,50287
207115,30337
326573,822
377283,60399
285002,51887
246855,47346
13818,3891
109378,2340
271896,57098
280624,60399
11342,40650
236030,11163
307778,53129
27650,6958
354442,63741
71575,1386
165799,73130
355797,54467
158707,17596
15382,41962
232619,66008
76163,68432
348302,67480
112110,30902
388187,74608
173963,18062
270812,11609
378008,36781
77370,7594
310583,16092
114619,18655
387521,60203
345809,67222
278316,11866
212885,38745
288413,69172
252622,27539
4134,67222
399560,18773
77338,49056
169087,71446
173679,75986
11995,16465
2997,60031
208070,53386
343855,10009
225293,61036
90556,58283
316839,23509
179613,49881
378920,28183
251335,27303
161977,74861
336177,40926
60775,15326
389911,48562
146897,46090
259257,68018
286574,21777
211760,66675
8026,29524
383451,9636
88868,24687
327232,1604
154419,27934
238192,72596
318466,55814
125902,7644
102612,54061
77587,45638
38015,4850
40443,72079
43645,50181
109997,72626
330019,67062
126583,35009
389837,2838
218734,23062
285126,41014
175954,65681
312458,46978
280820,71083
160939,7037
278379,32550
229254,40926
277802,62693
185152,37183
373255,37554
41527,55359
214047,37372
305021,67445
18490,66582
73234,13116
173328,74263
352485,72777
76755,42084
43320,5527
369236,69323
253075,7847
182149,21017
149414,5255
263938,21674
215801,11001
204162,26690
767,180
307217,75246
288600,71233
344161,38906
276480,38960
204477,54245
306643,65111
290119,28825
61365,4873
198728,3985
108062,62478
150351,37930
238205,24557
209435,20841
263806,55776
287243,58004
359313,64100
349410,16186
270466,17736
335203,18655
239783,70001
65594,30836
147527,71654
357446,4161
289462,5849
361474,56081
359050,67801
292498,5964
305392,10140
10235,58819
28973,56495
214888,30853
130589,30112
251663,63116
51594,68265
75045,24271
17060,40926
44026,65111
351749,33234
337809,7838
204939,61937
148762,63568
388189,1149
296189,70111
226260,62478
233963,6165
348872,16062
371594,12521
318644,35858
345142,32551
389272,20768
312041,54628
30651,60031
91912,30836
153198,5527
341185,39195
144221,2177
182792,17571
53675,22547
87919,48945
280507,60463
372306,52966
31090,11846
350406,38402
258504,22131
9708,32868
55963,3030
43843,7211
6283,45446
358551,50657
193731,28971
375264,38010
1653,33803
112363,25599
195374,6515
27451,31238
136658,3148
379250,4921
29481,56563
352343,29223
397900,70180
49501,65941
277884,45731
7820,16974
243587,65232
323396,66606
185642,56014
180217,29003
49143,56690
94570,31510
338433,24065
318261,66452
170047,25417
292924,7345
18866,50388
307746,26728
218997,7712
237127,49540
94328,22271
257620,68310
178339,71173
298004,23937
352884,17883
57679,46473
284695,15493
91083,46404
288283,21822
283385,34690
240976,54116
328597,25151
205172,71173
325150,11082
30137,45267
151950,63581
168797,28766
218092,70338
128876,56351
366610,18689
131135,72598
179812,63274
328665,69263
367720,52387
8180,66347
269874,13462
60009,17571
205649,45698
45710,30761
121929,8737
244198,65266
365292,55363
133175,67914
377114,60003
312178,1126
118085,19557
172070,30430
235426,49878
215687,64027
148936,10103
351197,58385
210839,1304
119682,5190
173549,89
173081,46235
163222,22860
195792,40395
147887,11871
67554,16668
290750,51608
180177,36895
338531,58430
74598,65348
272858,7161
206593,26591
196338,64443
63904,28150
235802,6425
363021,9893
160114,59123
396946,49647
193525,19905
54233,48731
191876,65557
139641,21111
5354,14662
243040,63829
33467,39156
