target_id,ann,type
49299,11800,1
265080,24189,1
265080,35434,2
265080,13197,7
265080,13842,1
107551,13194,5
107551,26743,5
107551,16609,7
107551,4222,5
107551,7719,1
107551,1008,7
107551,10870,1
343787,25680,1
343787,27534,0
343787,22407,7
343787,36690,1
343787,1158,5
134892,20052,5
134892,13370,5
134892,10831,1
134892,8524,5
134892,1914,5
134892,855,5
134892,30026,7
134892,24472,7
134892,33154,7
134892,13844,5
199512,26531,5
199512,1700,5
199512,8750,7
199512,28255,7
199512,2918,7
199512,6379,1
120974,14492,5
120974,20783,5
120974,17625,5
120974,11908,5
120974,36398,5
120974,3443,5
120974,15081,1
120974,8500,7
120974,2424,7
120974,35231,7
120974,28052,1
343391,11265,1
343391,10128,1
343391,2973,7
345584,9895,0
345584,14251,7
345584,132,7
345584,11515,1
330177,3170,1
330177,27574,7
330177,306,7
330177,17638,5
330177,11624,1
330177,35159,5
330177,20271,7
120128,2655,1
120128,1561,7
120128,19713,7
120128,6188,2
120128,24962,7
112063,31042,5
112063,8381,7
112063,1042,7
112063,33186,1
112063,33356,5
127665,23142,1
127665,20432,0
127665,33185,7
266786,6388,5
266786,17969,1
266786,20654,5
266786,26933,7
110118,29849,1
110118,21898,1
110118,20566,7
117346,23856,5
117346,12567,5
117346,5853,5
117346,20485,7
117346,4223,5
117346,30462,5
117346,25535,1
117346,2918,7
117346,35204,7
117346,16892,7
117346,36779,7
117346,3544,1
265741,20966,5
265741,13598,1
265741,29533,1
78797,5576,1
78797,5338,0
78797,12047,1
78797,9338,5
78797,20921,7
271766,16451,1
271766,4106,1
271766,27644,1
361440,17978,1
361440,32762,5
361440,11348,1
361440,400,5
361440,3710,7
361440,29022,0
361440,1835,7
267574,18297,1
267574,12241,1
267574,29618,0
267574,18804,5
267574,22286,7
83916,13370,5
83916,561,5
83916,35130,0
83916,30026,7
83916,31383,1
83916,24472,7
83916,22031,5
83916,7172,5
83916,35313,1
134426,13924,7
134426,33844,1
134426,16490,5
134426,12994,7
223961,30186,1
223961,13370,5
223961,561,5
223961,20378,5
223961,33518,1
223961,15373,0
223961,22982,5
223961,24472,7
223961,34035,0
223961,31090,7
223961,3339,5
223961,31239,1
279016,28491,5
279016,26170,1
279016,28087,7
326550,24271,1
326550,9084,7
326550,5025,1
326550,9337,0
326550,26243,7
344327,4728,1
344327,34580,0
344327,13211,7
214571,209,1
214571,25789,7
214571,15475,5
214571,12238,5
214571,33084,1
214571,31418,7
214571,18543,7
35054,713,1
35054,22945,0
383748,7101,5
383748,33743,1
383748,21101,1
214380,13123,1
214380,12327,5
214380,8832,7
214380,11423,1
214380,10768,1
214380,19560,1
141992,29580,7
141992,6771,5
46417,4303,5
46417,33892,5
46417,33285,1
46417,8832,7
46417,19131,7
46417,15825,1
54337,25354,1
54337,28784,7
54337,6620,0
249000,27286,1
249000,17890,7
223751,25142,1
223751,8997,0
223751,21116,1
223751,13593,7
44917,8413,1
44917,6165,7
44917,16955,1
392768,7069,5
392768,5197,5
392768,21738,5
392768,13924,7
392768,12994,7
392768,25273,7
392768,34992,7
31592,8413,1
31592,6165,7
31592,16955,1
329846,2316,1
329846,20168,1
329846,32515,0
329846,10759,7
27325,22817,1
27325,12945,1
27325,22280,7
27325,11805,7
279141,32524,1
279141,25059,5
279141,19294,7
279141,198,7
377598,26596,5
377598,36019,1
377598,153,5
377598,8510,5
11727,26596,5
11727,36019,1
11727,153,5
11727,8510,5
145541,14879,5
145541,6106,2
145541,25490,7
145541,4795,4
145541,10000,5
145541,31335,1
290700,22043,5
290700,13370,5
290700,561,5
290700,5625,1
290700,34864,2
290700,7652,5
290700,3710,7
290700,1984,7
290700,1835,7
290700,6239,1
290700,24472,7
290700,18888,1
290700,21261,7
290700,27835,5
195865,19166,1
195865,1210,7
195865,30876,7
195865,11317,5
195865,14011,5
237040,26596,5
237040,10542,5
237040,22102,5
237040,8510,5
237040,12620,5
156351,36349,5
156351,610,7
156351,25171,1
280452,32827,1
280452,7828,5
280452,32321,5
280452,11215,7
280452,23110,7
190985,21054,1
190985,2014,4
190985,7197,7
4808,21054,1
4808,2014,4
4808,7197,7
308622,21054,1
308622,2014,4
308622,7197,7
224885,21054,1
224885,2014,4
224885,7197,7
385235,21054,1
385235,2014,4
385235,7197,7
281907,21054,1
281907,2014,4
281907,7197,7
392074,21054,1
392074,2014,4
392074,7197,7
214789,21054,1
214789,2014,4
214789,7197,7
323721,21054,1
323721,2014,4
323721,7197,7
65090,21054,1
65090,2014,4
65090,7197,7
